,role,isStarting,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,0,1,0,1,1,1,0,1,2,2,0,0,2,2
1,0,0,2,2,2,1,0,2,1,0,0,0,2,0,1
2,3,1,1,1,1,1,2,1,2,2,0,1,0,1,0
3,2,0,0,1,0,1,1,1,0,0,2,3,2,1,1
4,1,0,1,2,1,1,0,1,0,0,1,2,1,2,1
5,3,0,1,1,1,0,1,0,1,2,2,0,3,1,0
6,2,0,1,1,1,3,2,1,1,2,0,1,0,0,0
7,0,1,1,0,1,0,1,2,2,0,1,1,0,1,3
8,0,1,3,1,0,2,1,3,0,1,0,0,1,1,0
9,2,0,0,0,3,0,0,0,3,0,1,3,1,1,1
10,3,0,1,1,1,0,1,1,1,2,2,0,1,1,1
11,1,0,0,2,0,2,2,0,0,1,1,1,1,1,2
12,3,1,1,1,1,1,3,0,1,1,1,1,0,2,0
13,1,0,0,0,1,1,0,3,2,2,2,1,0,1,0
14,0,0,2,2,1,2,1,0,1,0,0,1,2,0,1
15,2,0,1,1,1,0,0,1,0,1,1,1,2,1,3
16,1,0,2,1,1,1,0,1,1,2,0,1,2,1,0
17,0,0,1,2,1,1,3,1,2,1,0,0,0,0,1
18,2,0,1,1,0,1,0,2,1,1,1,2,0,1,2
19,3,1,0,0,2,1,1,0,0,0,3,1,2,2,1
20,0,0,3,1,1,0,1,0,1,0,2,1,2,0,1
21,3,0,0,1,0,0,1,2,3,0,1,1,2,0,2
22,2,0,0,2,2,4,0,0,0,2,1,1,0,0,1
23,1,1,1,0,1,0,2,2,0,2,0,1,0,4,0
24,0,0,2,1,2,0,2,0,0,2,1,1,1,0,1
25,1,1,1,2,2,2,0,0,2,1,1,0,1,1,0
26,3,0,0,1,0,1,1,3,1,0,0,2,0,3,1
27,2,0,1,0,0,1,1,1,1,1,2,1,2,0,2
28,3,0,0,0,1,2,0,2,0,3,2,0,2,0,1
29,0,1,3,2,0,0,2,1,1,0,0,2,1,1,0
30,1,0,1,1,2,1,2,0,1,0,1,1,1,2,0
31,2,0,0,1,1,1,0,1,2,1,1,1,0,1,3
32,0,1,0,0,1,1,2,3,2,1,0,1,2,0,0
33,3,0,1,0,2,1,1,0,0,2,1,1,0,4,0
34,2,0,2,2,0,0,0,0,1,1,2,1,2,0,2
35,1,0,1,2,1,2,1,1,1,0,1,1,0,0,2
36,2,1,0,0,1,1,0,1,2,1,2,3,0,1,1
37,0,0,3,2,2,2,1,0,1,0,0,0,0,1,1
38,1,0,0,2,1,1,2,2,1,1,0,0,1,0,2
39,3,0,1,0,0,0,1,1,0,2,2,1,3,2,0
40,2,0,1,0,1,2,2,1,1,0,2,1,1,0,1
41,0,0,1,2,1,1,0,1,1,2,1,2,0,0,1
42,3,1,1,1,1,1,2,0,1,1,1,1,2,0,1
43,1,0,1,1,1,0,0,2,1,1,0,0,1,4,1
44,2,0,1,1,0,3,0,2,2,1,0,1,1,0,1
45,0,0,1,1,3,0,1,1,1,0,1,0,2,1,1
46,1,0,1,2,1,0,3,0,0,2,1,1,0,1,1
47,3,1,1,0,0,1,0,1,1,1,2,2,1,2,1
48,3,0,1,0,0,1,1,1,1,1,1,2,1,0,3
49,2,0,1,2,2,0,0,2,1,1,1,0,2,1,0
50,0,0,1,1,2,2,2,0,0,0,1,1,0,2,1
51,1,1,1,1,0,1,1,1,2,2,1,1,1,1,0
52,0,0,1,2,1,0,1,1,1,0,1,0,3,1,1
53,1,1,1,0,1,0,1,1,1,2,2,2,0,1,1
54,2,0,1,1,0,2,0,2,1,2,0,1,1,1,1
55,3,0,1,1,2,2,2,0,1,0,1,1,0,1,1
56,3,0,0,0,2,0,2,1,1,1,1,1,1,2,1
57,2,1,2,1,1,1,1,1,2,0,1,0,1,1,1
58,0,0,1,1,1,1,1,1,0,3,1,0,1,0,2
59,1,0,1,2,0,2,0,1,1,0,1,3,1,1,0
60,2,0,2,0,1,1,1,2,0,2,0,1,2,0,1
61,1,0,0,0,0,1,3,0,1,2,2,0,1,2,1
62,0,1,2,1,2,1,0,2,2,0,1,0,1,1,0
63,3,0,0,3,1,1,0,0,1,0,1,3,0,1,2
64,1,1,1,1,2,1,1,1,0,1,1,1,2,1,0
65,2,0,2,1,0,1,1,1,2,0,0,1,1,1,2
66,0,0,0,2,0,2,1,0,2,3,2,1,0,0,0
67,3,0,1,0,2,0,1,2,0,0,1,1,1,2,2
68,2,0,0,1,3,0,2,0,1,1,0,1,2,1,1
69,3,1,0,2,1,2,2,0,2,0,1,0,0,1,2
70,1,0,1,0,0,1,0,2,1,1,0,3,1,2,1
71,0,0,3,1,0,1,0,2,0,2,3,0,1,0,0
72,0,0,0,2,2,1,1,2,0,0,1,2,0,1,1
73,1,0,3,0,1,1,0,0,2,1,1,0,1,1,2
74,2,0,1,1,0,1,1,0,0,2,2,2,2,0,1
75,3,1,0,1,1,1,2,2,2,1,0,0,1,2,0
76,1,0,1,1,1,0,1,1,1,1,2,1,1,2,0
77,3,0,0,0,2,2,0,1,1,1,0,2,1,1,2
78,2,0,1,3,0,1,3,1,1,1,0,1,1,0,0
79,0,1,2,0,1,1,0,1,1,1,2,0,1,1,2
80,2,1,0,2,3,1,1,0,2,0,1,2,0,1,0
81,3,0,1,1,0,1,1,0,1,2,1,0,1,2,2
82,1,0,2,1,0,1,2,0,0,2,1,2,1,1,0
83,0,0,1,0,1,1,0,4,1,0,1,0,2,0,2
84,1,0,0,4,0,0,1,0,0,2,2,1,2,0,1
85,3,0,2,0,1,2,1,2,0,0,2,1,1,0,1
86,2,1,1,0,1,1,1,1,3,2,0,1,0,1,1
87,0,0,1,0,2,1,1,1,1,0,0,1,1,3,1
88,0,0,0,2,1,1,1,1,0,1,0,0,3,1,2
89,3,0,2,0,2,1,1,0,1,1,3,0,1,1,0
90,1,1,1,2,1,1,0,0,2,1,0,3,0,1,1
91,2,0,1,0,0,1,2,3,1,1,1,1,0,1,1
92,0,0,0,2,1,0,0,0,1,2,2,1,1,2,1
93,1,1,1,0,0,2,2,2,1,0,2,1,1,0,1
94,2,0,1,1,1,0,1,2,1,1,0,2,0,1,2
95,3,0,2,1,2,2,1,0,1,1,0,0,2,1,0
96,0,0,3,1,1,1,1,0,1,2,1,1,0,1,0
97,1,1,0,1,0,1,1,1,2,1,0,1,2,0,3
98,2,0,1,0,0,1,2,3,1,1,1,1,1,0,1
99,3,0,0,2,3,1,0,0,0,0,2,1,1,3,0
100,2,0,2,1,2,0,2,0,0,0,1,1,2,1,1
101,0,1,1,1,1,1,0,0,0,2,1,1,2,1,2
102,1,0,0,1,1,2,1,2,1,0,2,1,0,1,1
103,3,0,1,1,0,1,1,2,3,2,0,1,0,1,0
104,2,1,0,1,1,1,2,2,1,0,2,1,0,0,2
105,1,0,2,1,1,0,1,2,1,1,0,1,0,2,1
106,3,0,1,0,1,3,1,0,1,1,1,2,1,0,1
107,0,0,1,2,1,0,0,0,1,2,1,0,3,2,0
108,2,0,1,1,2,1,1,1,1,1,2,1,0,1,0
109,3,0,1,1,1,1,0,1,1,1,1,3,1,1,0
110,1,1,1,2,1,1,2,1,0,0,1,0,1,1,2
111,0,0,1,0,0,1,1,1,2,2,0,0,2,1,2
112,0,0,3,1,0,1,1,1,2,0,0,1,3,0,0
113,2,1,1,1,0,1,1,1,0,0,3,1,0,3,1
114,3,0,0,1,1,1,1,2,1,3,0,1,1,0,1
115,1,0,0,1,3,1,1,0,1,1,1,1,0,1,2
116,2,0,0,1,1,2,1,2,2,0,0,3,0,1,0
117,0,0,2,2,1,0,2,0,2,2,0,0,0,1,1
118,3,1,2,0,1,1,0,2,0,1,1,1,2,2,0
119,1,0,0,1,1,1,1,0,0,1,3,0,2,0,3
120,3,0,0,0,0,1,3,2,1,0,1,0,4,1,0
121,0,0,1,2,1,1,0,1,0,1,1,2,0,2,1
122,2,0,2,0,0,2,1,0,1,1,2,1,0,1,2
123,1,1,1,2,3,0,0,1,2,2,0,1,0,0,1
124,2,0,1,0,1,1,3,1,2,2,0,0,0,0,2
125,3,1,0,2,3,1,0,1,1,0,1,0,2,2,0
126,0,0,0,1,0,1,0,0,1,2,2,2,0,2,2
127,1,0,3,1,0,1,1,2,0,0,1,2,2,0,0
128,2,0,0,1,0,2,2,0,2,0,1,1,1,1,2
129,1,0,2,1,2,1,0,1,0,1,1,1,1,2,0
130,3,0,1,1,0,1,1,2,0,1,0,1,2,1,2
131,0,1,1,1,2,0,1,1,2,2,2,1,0,0,0
132,1,1,3,0,1,1,1,1,1,0,1,0,2,0,2
133,0,0,1,1,0,1,1,1,1,1,2,2,1,1,0
134,3,0,0,3,2,0,1,1,1,0,1,1,0,2,1
135,2,0,0,0,1,2,1,1,1,3,0,1,1,1,1
136,3,0,0,2,1,1,1,2,0,1,2,1,0,2,0
137,0,1,1,1,0,0,1,1,3,0,1,1,2,0,2
138,1,0,3,0,2,0,1,1,1,1,1,1,0,1,1
139,2,0,0,1,1,3,1,0,0,2,0,1,2,1,1
140,1,1,0,0,1,1,1,2,2,0,1,0,0,2,3
141,3,0,1,1,0,3,1,1,1,2,0,2,1,0,0
142,2,0,1,1,2,0,1,0,1,1,2,2,2,0,0
143,0,0,2,2,1,0,1,1,0,1,1,0,1,2,1
144,3,0,1,1,0,1,2,1,1,2,1,1,0,1,1
145,0,1,1,1,2,2,0,0,0,0,2,1,2,1,1
146,1,0,0,2,1,1,1,2,2,1,0,0,1,1,1
147,2,0,2,0,1,0,1,1,1,1,1,2,1,1,1
148,0,1,1,1,1,2,0,2,2,1,1,0,1,1,0
149,1,0,0,2,2,0,0,1,0,2,2,1,1,0,2
150,2,0,1,1,0,2,2,0,0,0,1,1,1,2,2
151,3,0,2,0,1,0,2,1,2,1,0,2,1,1,0
